"","x"
"905","MOAP1"
"906","PSMD2"
"907","FAM120AOS"
"908","SLCO1C1"
"909","SSBP4"
"910","IFFO1"
"911","DPY19L4"
"912","FHL3"
"913","CCDC97"
"914","KCNF1"
"915","ASTN1"
"916","LPAR1"
"917","ARPC5"
"918","RRP9"
"919","PIK3C2A"
"920","AURKAIP1"
"921","PLIN3"
"922","CEP41"
"923","ADD1"
"924","OGFOD2"
"925","TRAPPC11"
"926","IFNAR1"
"927","RNF25"
"928","MAPK4"
"929","APP"
"930","UBAP1"
"931","FZD3"
"932","BCL7B"
"933","SLC27A1"
"934","FBLN5"
"935","RPS6KB2"
"936","PCF11"
"937","IMMT"
"938","ENTPD6"
"939","SNAPC3"
"940","RBMS1"
"941","SND1"
"942","VGLL4"
"943","PEX3"
"944","SNX5"
"945","IDH3G"
"946","GNPNAT1"
"947","UBR7"
"948","TOB2"
"949","SLC30A7"
"950","SATB2"
"951","PRSS23"
"952","SLC16A2"
"953","PPP1CC"
"954","ARMCX3"
"955","ABCC3"
"956","CLPTM1L"
"957","TCEA2"
"958","SLC35F2"
"959","DOLK"
"960","RABGGTA"
"961","ARHGEF10"
"962","HIVEP2"
"963","EIF2B4"
"964","RNF114"
"965","SGSH"
"966","PRDX5"
"967","TNFAIP1"
"968","ATP6V0D1"
"969","CYB5B"
"970","IFRD1"
"971","UNC50"
"972","RNF130"
"973","RBM23"
"974","AKR1B1"
"975","ZNF415"
"976","CTGF"
"977","SHISA4"
"978","GADD45B"
"979","SETD3"
"980","DDX54"
"981","TARDBP"
"982","GNB4"
"983","ANK2"
"984","ADRM1"
"985","FTL"
"986","QRICH1"
"987","TSG101"
"988","BCAP29"
"989","PNRC2"
"990","STON2"
"991","BRF2"
"992","HSDL2"
"993","ARL6IP4"
"994","GALNS"
"995","SEC14L1"
"996","MAPK1IP1L"
"997","ITPA"
"998","CRELD1"
"999","GBP1"
"1000","CERS5"
"1001","PSMB8"
"1002","FAM53C"
"1003","DGCR6"
"1004","PRKCA"
"1005","BACE1"
"1006","CAPN1"
"1007","ANKRD46"
"1008","UBL4A"
"1009","XRCC6"
"1010","DGCR6L"
"1011","ACTN4"
"1012","CHDH"
"1013","SEMA4B"
"1014","YIPF4"
"1015","SRSF5"
"1016","SHKBP1"
"1017","SLC25A4"
"1018","TBC1D17"
"1019","SLC39A13"
"1020","ZNF317"
"1021","DACT3"
"1022","PDHA1"
"1023","GCAT"
"1024","ARHGEF6"
"1025","PITPNB"
"1026","MPDU1"
"1027","TMCO3"
"1028","TNPO1"
"1029","QDPR"
"1030","NAA10"
"1031","RNF13"
"1032","RHOA"
"1033","GNAS"
"1034","PCCB"
"1035","STAU2"
"1036","SLC11A2"
"1037","MYO5A"
"1038","SEL1L"
"1039","C16orf58"
"1040","FZR1"
"1041","NCOA3"
"1042","ACYP2"
"1043","APOPT1"
"1044","BCAP31"
"1045","FBXO17"
"1046","WWOX"
"1047","PELI2"
"1048","TRIM27"
"1049","KXD1"
"1050","ZNF585B"
"1051","TNFRSF12A"
"1052","CTSO"
"1053","PPP4C"
"1054","URGCP"
"1055","EHD2"
"1056","IRF7"
"1057","PDCD1LG2"
"1058","COPB2"
"1059","TSC22D4"
"1060","CLDN10"
"1061","RNF19A"
"1062","ADIPOR1"
"1063","MRGPRF"
"1064","TMEM185B"
"1065","FSTL1"
"1066","ALKBH7"
"1067","LCTL"
"1068","ABHD8"
"1069","RNF14"
"1070","B3GNT9"
"1071","GPI"
"1072","ZNF17"
"1073","UBXN4"
"1074","TOR1AIP1"
"1075","ZHX3"
"1076","UBQLN2"
"1077","SELT"
"1078","KLC4"
"1079","NDUFV1"
"1080","VPS35"
"1081","PRR7"
"1082","SNX21"
"1083","CD151"
"1084","PAAF1"
"1085","VPS52"
"1086","PIN1"
"1087","DNAJC14"
"1088","REEP5"
"1089","IL17RB"
"1090","ASB6"
"1091","DPP9"
"1092","HSD17B12"
"1093","ZNF714"
"1094","RPN1"
"1095","CDIPT"
"1096","TRIM14"
"1097","CITED1"
"1098","WTAP"
"1099","PSMD1"
"1100","TTLL7"
"1101","BBOX1"
"1102","LRRC58"
"1103","IMPAD1"
"1104","VAC14"
"1105","SLC38A3"
"1106","HIPK1"
"1107","RNF10"
"1108","ZC3H14"
"1109","TBL2"
"1110","PLCD3"
"1111","GRWD1"
"1112","DARS"
"1113","ZKSCAN1"
"1114","HSD17B10"
"1115","C14orf159"
"1116","EDNRB"
"1117","ARPC5L"
"1118","SAMD4B"
"1119","MCL1"
"1120","H6PD"
"1121","IL11RA"
"1122","EPS8"
"1123","ITGAV"
"1124","SPIN2B"
"1125","DCUN1D4"
"1126","LRRC41"
"1127","KIFC3"
"1128","BCLAF1"
"1129","CALCOCO1"
"1130","POT1"
"1131","PLOD3"
"1132","SH3GL1"
"1133","TCEAL3"
"1134","ASAH1"
"1135","IBTK"
"1136","LMAN1"
"1137","BICD1"
"1138","SNAP47"
"1139","POFUT1"
"1140","TWF2"
"1141","NFIC"
"1142","ZNF652"
"1143","ZBTB1"
"1144","SMARCA5"
"1145","SRD5A1"
"1146","RHPN2"
"1147","RAMP2"
"1148","FAM120A"
"1149","CRELD2"
"1150","CNGA3"
"1151","RAB6B"
"1152","ARCN1"
"1153","KBTBD11"
"1154","SPATA20"
"1155","NPAS2"
"1156","CLPP"
"1157","TBC1D23"
"1158","SERINC3"
"1159","WNK1"
"1160","SDSL"
"1161","CRY1"
"1162","TK2"
"1163","CARS"
"1164","RAB7A"
"1165","GBP2"
"1166","ABCF2"
"1167","SNAPC2"
"1168","RARRES3"
"1169","ALDOA"
"1170","NSF"
"1171","CHMP7"
"1172","ZNF146"
"1173","YIF1B"
"1174","ABHD5"
"1175","UBE2G1"
"1176","MAP3K5"
"1177","GPT2"
"1178","LMAN2L"
"1179","GUSB"
"1180","PGK1"
"1181","RCN2"
"1182","SMAP2"
"1183","PRMT2"
"1184","CDH4"
"1185","ANGPTL2"
"1186","TMX4"
"1187","CDC25B"
"1188","IFNGR1"
"1189","STARD10"
"1190","PTP4A2"
"1191","ARAF"
"1192","NADK"
"1193","RTKN"
"1194","PDXK"
"1195","IQGAP2"
"1196","NUDT22"
"1197","ATF6B"
"1198","ZDHHC24"
"1199","PKD1"
"1200","SDC4"
"1201","EIF5"
"1202","ZNF285"
"1203","COL4A2"
"1204","APOE"
"1205","ILVBL"
"1206","PTBP1"
